video_id,video_path,luminance_mean,luminance_std,blur,hr_error,snr,macc
s1_T1,/work/yj167/DATASET_1/s1/vid_s1_T1.avi,137.2060091686249,0.44636025277927344,27.096016417179843,19.482421880000004,-7.067559957,0.424203561
s51_T2,/work/yj167/DATASET_1/s51/vid_s51_T2.avi,130.71394656181334,4.519153626469072,16.020784069620404,19.311523440000002,-6.338876924,0.303119121
s26_T2,/work/yj167/DATASET_1/s26/vid_s26_T2.avi,134.1375463485718,3.2309532393605824,14.287196558472834,19.140625,-9.714745835,0.356921289
s6_T2,/work/yj167/DATASET_1/s6/vid_s6_T2.avi,118.64989710807801,1.3643481733986287,21.11493039361496,18.45703125,-9.006727398,0.302058753
s35_T2,/work/yj167/DATASET_1/s35/vid_s35_T2.avi,141.54800185203553,7.358844501459028,13.065101120011304,18.115234380000004,-9.850560999,0.284945917
s4_T2,/work/yj167/DATASET_1/s4/vid_s4_T2.avi,153.6720388317108,1.3831823894577562,22.442067753356678,17.602539070000006,-8.773526903,0.286650023
s14_T2,/work/yj167/DATASET_1/s14/vid_s14_T2.avi,127.81688946723938,12.363206891820276,18.509587495343858,17.43164066,-6.247281316,0.321982975
s34_T1,/work/yj167/DATASET_1/s34/vid_s34_T1.avi,133.12153039932252,0.11249812636953144,20.299244619181444,16.577148429999994,-9.264161235,0.289718739
s52_T2,/work/yj167/DATASET_1/s52/vid_s52_T2.avi,179.40269903182983,1.2422716321014051,22.619610725471347,16.577148429999994,-11.37552713,0.24723072
s53_T2,/work/yj167/DATASET_1/s53/vid_s53_T2.avi,122.49184830665588,1.1762884065229529,17.028004648618015,16.577148440000002,-8.592898894,0.272241685
s23_T1,/work/yj167/DATASET_1/s23/vid_s23_T1.avi,178.35772002220153,0.2375429878660884,13.53049307157391,15.72265625,-4.542206713,0.435836859
s37_T2,/work/yj167/DATASET_1/s37/vid_s37_T2.avi,97.84784778594971,0.22276842525801208,24.95782559074594,15.38085934,-8.305857572,0.294183725
s22_T1,/work/yj167/DATASET_1/s22/vid_s22_T1.avi,142.58564512252806,0.08479429968025541,19.116670999152504,14.35546875,-4.652785558,0.347616084
s16_T2,/work/yj167/DATASET_1/s16/vid_s16_T2.avi,160.814928483963,0.6334150276703704,65.90403213553128,14.184570320000006,-7.07431952,0.308497917
s55_T2,/work/yj167/DATASET_1/s55/vid_s55_T2.avi,124.17868401527404,5.597635651165418,19.152496564343263,14.184570309999998,-8.933904301,0.311393756
s42_T2,/work/yj167/DATASET_1/s42/vid_s42_T2.avi,112.11916471481324,6.923650290816158,19.644772994083795,14.013671880000004,-6.485283476,0.309811834
s56_T2,/work/yj167/DATASET_1/s56/vid_s56_T2.avi,84.14111947059631,2.6672467214849704,27.694944600517065,13.671875,-7.717332511,0.294726448
s21_T2,/work/yj167/DATASET_1/s21/vid_s21_T2.avi,91.59087722778321,1.4436681344019309,15.953410010325797,13.330078130000004,-11.6347409,0.297598254
s34_T2,/work/yj167/DATASET_1/s34/vid_s34_T2.avi,140.49920902252197,1.9849079456672578,18.94844827052727,13.159179690000002,-8.933168131,0.313762816
s31_T2,/work/yj167/DATASET_1/s31/vid_s31_T2.avi,136.61315196990967,3.4475119992218546,18.04159370598266,12.646484369999996,-6.289988126,0.318615195
s32_T1,/work/yj167/DATASET_1/s32/vid_s32_T1.avi,120.47438956260682,0.11177671279942179,16.18167044891965,12.646484380000004,-12.78679859,0.261467191
s46_T2,/work/yj167/DATASET_1/s46/vid_s46_T2.avi,153.01992530822753,1.5107932615442456,18.523084886333447,12.646484369999996,-9.234919787,0.283007885
s52_T1,/work/yj167/DATASET_1/s52/vid_s52_T1.avi,192.40242385864258,0.11381076704503093,13.414206364786633,11.962890619999996,-19.148469,0.245564598
s4_T1,/work/yj167/DATASET_1/s4/vid_s4_T1.avi,155.08220754623414,0.08145018288523569,23.300518949585932,11.62109375,-7.834496654,0.352268758
s20_T2,/work/yj167/DATASET_1/s20/vid_s20_T2.avi,136.15062118530273,2.638603597129406,15.995259597284385,11.279296880000004,-8.690217046,0.279006127
s49_T2,/work/yj167/DATASET_1/s49/vid_s49_T2.avi,129.5645318031311,19.818241979310656,13.777719005517474,11.108398440000002,-8.670502864,0.295615693
s11_T2,/work/yj167/DATASET_1/s11/vid_s11_T2.avi,148.69075045585632,12.778254746113214,80.6337715541375,10.25390625,-7.259092825,0.314860139
s43_T2,/work/yj167/DATASET_1/s43/vid_s43_T2.avi,121.06576823234558,1.9732385894044704,16.0327507771031,9.228515619999996,-5.9393817,0.280271979
s38_T2,/work/yj167/DATASET_1/s38/vid_s38_T2.avi,130.04153260231018,1.8561283802259714,17.537439889621837,9.057617179999994,-6.993881824,0.351145776
s54_T2,/work/yj167/DATASET_1/s54/vid_s54_T2.avi,149.1698416519165,1.1458935535307373,31.365186414928704,9.05761717,-4.096918497,0.280583181
s31_T1,/work/yj167/DATASET_1/s31/vid_s31_T1.avi,120.16162418365478,0.07436230683164198,29.7491223971229,8.88671875,-9.128035496,0.279785363
s20_T1,/work/yj167/DATASET_1/s20/vid_s20_T1.avi,136.7306421661377,0.07832924870390987,15.656156919346385,8.544921869999996,-4.660126621,0.321075456
s30_T2,/work/yj167/DATASET_1/s30/vid_s30_T2.avi,164.6830520915985,6.5105960747210085,22.545273930552423,8.032226559999998,-6.90693961,0.286595699
s15_T2,/work/yj167/DATASET_1/s15/vid_s15_T2.avi,119.44192921638489,1.170052128218433,28.367656571452216,7.861328130000004,-1.592828024,0.341106679
s5_T2,/work/yj167/DATASET_1/s5/vid_s5_T2.avi,188.3311702823639,2.342845154219719,19.351775377150325,7.861328130000004,-3.323940442,0.333841219
s40_T2,/work/yj167/DATASET_1/s40/vid_s40_T2.avi,118.76658282279968,1.014534322177194,20.80667840563382,7.348632800000004,-4.38336036,0.342696251
s45_T2,/work/yj167/DATASET_1/s45/vid_s45_T2.avi,133.56996816635132,7.8715883914917475,23.186484192261833,7.177734369999996,-3.1602114,0.336742058
s29_T2,/work/yj167/DATASET_1/s29/vid_s29_T2.avi,117.93720496177673,3.6968526819003,18.85238658419986,6.323242190000002,-2.94874575,0.390193861
s37_T1,/work/yj167/DATASET_1/s37/vid_s37_T1.avi,124.70027883529663,0.036758816507126084,16.8566012852562,6.15234375,-5.21111001,0.322245242
s26_T1,/work/yj167/DATASET_1/s26/vid_s26_T1.avi,130.80083262443543,1.4755756073235213,15.520437003201705,5.981445320000006,-2.932505254,0.322219286
s45_T1,/work/yj167/DATASET_1/s45/vid_s45_T1.avi,140.03349194526672,0.13447222721594923,19.763592014529014,5.981445309999998,3.586822893,0.495258207
s24_T1,/work/yj167/DATASET_1/s24/vid_s24_T1.avi,124.9851007080078,0.07332306632244784,21.08418106970584,5.46875,-5.858091832,0.34578788
s19_T1,/work/yj167/DATASET_1/s19/vid_s19_T1.avi,129.8947190952301,0.39006943392900495,20.00292171489484,4.956054690000002,2.084542345,0.598113888
